Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points
2011,f,2011f,J,Azerbaijan,Hungary,2
2011,f,2011f,J,Azerbaijan,Italy,1
2011,f,2011f,J,Azerbaijan,Moldova,7
2011,f,2011f,J,Azerbaijan,Romania,6
2011,f,2011f,J,Azerbaijan,Russia,4
2011,f,2011f,J,Azerbaijan,Sweden,3
2011,f,2011f,J,Azerbaijan,Ukraine,12
2011,f,2011f,J,Azerbaijan,United Kingdom,5
2011,f,2011f,J,Belarus,Azerbaijan,6
2011,f,2011f,J,Belarus,Denmark,1
2011,f,2011f,J,Belarus,Georgia,12
2011,f,2011f,J,Belarus,Germany,8
2011,f,2011f,J,Belarus,Italy,3
2011,f,2011f,J,Belarus,Moldova,7
2011,f,2011f,J,Belarus,Russia,5
2011,f,2011f,J,Belarus,Sweden,4
2011,f,2011f,J,Belarus,Ukraine,10
2011,f,2011f,J,Belarus,United Kingdom,2
2011,f,2011f,J,Belgium,Azerbaijan,3
2011,f,2011f,J,Belgium,Estonia,2
2011,f,2011f,J,Belgium,France,12
2011,f,2011f,J,Belgium,Germany,5
2011,f,2011f,J,Belgium,Greece,8
2011,f,2011f,J,Belgium,Ireland,7
2011,f,2011f,J,Belgium,Italy,6
2011,f,2011f,J,Belgium,Moldova,1
2011,f,2011f,J,Belgium,Romania,10
2011,f,2011f,J,Belgium,Sweden,4
2011,f,2011f,J,Bosnia & Herzegovina,Austria,7
2011,f,2011f,J,Bosnia & Herzegovina,Azerbaijan,8
2011,f,2011f,J,Bosnia & Herzegovina,France,4
2011,f,2011f,J,Bosnia & Herzegovina,Germany,3
2011,f,2011f,J,Bosnia & Herzegovina,Iceland,1
2011,f,2011f,J,Bosnia & Herzegovina,Ireland,2
2011,f,2011f,J,Bosnia & Herzegovina,Italy,6
2011,f,2011f,J,Bosnia & Herzegovina,Serbia,10
2011,f,2011f,J,Bosnia & Herzegovina,Slovenia,12
2011,f,2011f,J,Bosnia & Herzegovina,Sweden,5
2011,f,2011f,J,Bulgaria,Austria,5
2011,f,2011f,J,Bulgaria,Bosnia & Herzegovina,2
2011,f,2011f,J,Bulgaria,Denmark,7
2011,f,2011f,J,Bulgaria,Georgia,1
2011,f,2011f,J,Bulgaria,Greece,10
2011,f,2011f,J,Bulgaria,Ireland,3
2011,f,2011f,J,Bulgaria,Romania,6
2011,f,2011f,J,Bulgaria,Russia,4
2011,f,2011f,J,Bulgaria,Ukraine,8
2011,f,2011f,J,Bulgaria,United Kingdom,12
2011,f,2011f,J,Croatia,Austria,3
2011,f,2011f,J,Croatia,Azerbaijan,10
2011,f,2011f,J,Croatia,Bosnia & Herzegovina,7
2011,f,2011f,J,Croatia,France,6
2011,f,2011f,J,Croatia,Germany,1
2011,f,2011f,J,Croatia,Lithuania,2
2011,f,2011f,J,Croatia,Serbia,8
2011,f,2011f,J,Croatia,Slovenia,12
2011,f,2011f,J,Croatia,Sweden,4
2011,f,2011f,J,Croatia,Ukraine,5
2011,f,2011f,J,Cyprus,Azerbaijan,8
2011,f,2011f,J,Cyprus,Denmark,3
2011,f,2011f,J,Cyprus,France,7
2011,f,2011f,J,Cyprus,Greece,12
2011,f,2011f,J,Cyprus,Italy,1
2011,f,2011f,J,Cyprus,Russia,2
2011,f,2011f,J,Cyprus,Slovenia,6
2011,f,2011f,J,Cyprus,Sweden,10
2011,f,2011f,J,Cyprus,Ukraine,5
2011,f,2011f,J,Cyprus,United Kingdom,4
2011,f,2011f,J,Denmark,Austria,1
2011,f,2011f,J,Denmark,Estonia,2
2011,f,2011f,J,Denmark,Finland,5
2011,f,2011f,J,Denmark,Germany,8
2011,f,2011f,J,Denmark,Iceland,6
2011,f,2011f,J,Denmark,Ireland,12
2011,f,2011f,J,Denmark,Romania,4
2011,f,2011f,J,Denmark,Slovenia,7
2011,f,2011f,J,Denmark,Sweden,10
2011,f,2011f,J,Denmark,United Kingdom,3
2011,f,2011f,J,Estonia,Azerbaijan,8
