,Country,Score_From_Others,Score_From_Country,Relationship_Score,To Country
171,France,10.550034070325506,13.140721162358243,11.774338876197119,Germany
172,Spain,17.409363068602,7.867692925233598,11.703483355294827,Germany
173,Latvia,6.841078289299962,14.8669506913499,10.084937957304787,Germany
174,Russia,5.415853645695804,18.100352973772818,9.900952612824101,Germany
175,Bulgaria,4.263092609378495,22.934521206119104,9.88797187766231,Germany
176,Iceland,8.441893377111418,10.94720436775218,9.613278943732587,Germany
177,Luxembourg,10.960280775804323,7.9157583380809005,9.314447591713686,Germany
178,Croatia,4.31952436504193,19.629593194442936,9.208176045192529,Germany
179,Finland,7.657664583800072,10.79280039352219,9.091075037282355,Germany
180,Bosnia & Herzegovina,5.398138128471807,13.43172758081159,8.515064344162376,Germany
181,Monaco,8.788898309344878,8.242093558449053,8.511105811897487,Germany
182,Serbia,3.481778829988556,20.305849079903833,8.408357476424975,Germany
183,Romania,5.593314915600763,12.455939453198173,8.346855212077982,Germany
184,Estonia,6.845199644778223,10.031290218580807,8.286506154037212,Germany
185,Albania,8.0154172210642,7.43347534567495,7.718964068971895,Germany
186,Malta,3.5775338351481047,16.028445405233118,7.5724702549462455,Germany
187,Greece,3.8064113683719154,14.47175785844698,7.42195820742196,Germany
188,Hungary,4.249820016084325,12.959954533846291,7.421419957493496,Germany
189,Ukraine,2.780859035879416,18.975273421294837,7.264128340819032,Germany
190,Lithuania,4.7032413238937245,10.270398372203784,6.950119569978612,Germany
191,Cyprus,5.407222669863546,7.7140573320381005,6.45845381514984,Germany
192,Armenia,2.321185886659037,14.962204585192296,5.893221370053351,Germany
193,Slovenia,5.32404416816084,5.730016692628881,5.5233017259475385,Germany
194,Georgia,3.288346672766969,7.415632948509741,4.938134458749895,Germany
195,Yugoslavia,6.6991455290233475,3.248070559526472,4.664686202393911,Germany
196,North Macedonia,1.6744873407478829,10.74539710063888,4.241819352156432,Germany
197,Czechia,1.9183162182386966,7.242470605953451,3.7273782774917743,Germany
198,Moldova,1.700218681115391,7.694848072384611,3.6170325463027106,Germany
199,Azerbaijan,1.1605929433295186,7.7141675788753705,2.9921578260018493,Germany
200,Belarus,2.9574279703890998,0.648636716351771,1.3850257642224812,Germany
201,San Marino,3.206186696826921,0.46209812037329684,1.2171987701972056,Germany
202,0,0.0,1.0986122886681098,0.0,Germany
203,0,0.0,13.732653608351372,0.0,Germany
204,Sweden,21.50111363073666,23.705125504478808,22.576239658159917,Ireland
205,United Kingdom,24.774909011753426,20.504068410808312,22.538554284792614,Ireland
206,Lithuania,8.549831191538455,46.94916902992696,20.035155846383645,Ireland
207,Denmark,17.123269576643956,21.306842952686363,19.10085903057936,Ireland
208,Switzerland,18.79372814288233,19.344794585266325,19.06727065983481,Ireland
209,Norway,15.647310954791637,21.167360780214555,18.199238341762495,Ireland
210,Australia,17.577796618689757,18.486146416025477,18.026250912605658,Ireland
211,The Netherlands,14.212301508301499,19.0209749509599,16.44177091997369,Ireland
212,Austria,17.775871243392146,15.129464214979933,16.39937217904979,Ireland
213,Malta,12.114409470635351,21.00279053099512,15.951062802160168,Ireland
214,Belgium,14.960317377159473,16.936208500853265,15.91763344026087,Ireland
215,Italy,16.338367253465385,13.228662189232576,14.701521728029151,Ireland
216,Czechia,12.476649250079015,17.301457558666577,14.692318315181279,Ireland
217,Germany,14.948393286131202,13.32331871419612,14.112484119256802,Ireland
218,Poland,8.502605414868663,22.550388274216886,13.846914943327532,Ireland
219,Luxembourg,15.13633148743069,12.455939453198173,13.730885934672013,Ireland
220,Estonia,7.821005933130799,22.78293032694624,13.348611660436907,Ireland
221,Latvia,5.1298987149230735,32.49203409002709,12.91049355848438,Ireland
222,Finland,13.08035808476026,12.237776465132681,12.65205510283555,Ireland
223,Cyprus,11.30449314352602,13.735948817940585,12.461056906708743,Ireland
224,France,10.238625538446028,13.272623507828863,11.657333400458088,Ireland
225,Israel,7.043269737947831,17.149325943654816,10.990328859736072,Ireland
226,Croatia,8.987196820661973,13.413555349536004,10.97953833233089,Ireland
227,Ukraine,5.035580072876579,19.956753081016984,10.024660998462112,Ireland
228,Iceland,8.862022583418431,10.394562423552115,9.597752181749197,Ireland
229,Romania,4.488661375557689,19.46601325115591,9.347531322042077,Ireland
230,Spain,14.84488475198181,5.607823680751607,9.124006589771406,Ireland
231,Portugal,13.698546942797446,5.770408131190083,8.890793365285656,Ireland
232,Russia,4.255507458874901,16.485559751244352,8.375823689951227,Ireland
233,Greece,11.561090255099993,5.880980537208117,8.245638045606263,Ireland
234,Yugoslavia,8.122339631961532,7.267356512807688,7.68296413004588,Ireland
235,Azerbaijan,4.864775372638283,10.556229318461034,7.166148506441339,Ireland
236,Hungary,6.907755278982138,7.156989817198697,7.031268320251739,Ireland
237,Slovenia,6.290809120126946,7.208730677823431,6.7341479559474,Ireland
238,Monaco,7.129513857188008,6.091982195375387,6.590362014310855,Ireland
239,Turkey,13.956637531648157,2.7471897635881173,6.1920539210389265,Ireland
240,Bulgaria,1.1882523095313346,31.89331855225938,6.156079062872793,Ireland
241,Bosnia & Herzegovina,8.70444707497139,4.080524834676939,5.959757751918428,Ireland
242,Serbia,2.6735676964455033,6.839864953230764,4.276311727061944,Ireland
243,Albania,3.0701134573253945,2.637684800078208,2.8456970325216893,Ireland
244,North Macedonia,1.6785266909588594,3.845143010338384,2.5405068733240768,Ireland
245,Moldova,0.5493061443340549,10.046051650057684,2.349118536318241,Ireland
246,Georgia,1.1882523095313346,3.845143010338384,2.137521944334807,Ireland
247,Armenia,1.4853153869141684,0.8549831191538455,1.1269070868670037,Ireland
248,Belarus,0.27465307216702745,4.5404570144623975,1.116714138920264,Ireland
249,San Marino,4.658574619992943,0.0,0.0,Ireland
250,0,0.0,4.943755299006494,0.0,Ireland
251,Australia,12.476649250079014,34.053427608467985,20.612439739968,Israel
252,Ukraine,11.520930830835276,34.18820814698811,19.846409783425543,Israel
253,France,23.036907461503564,15.761219532430166,19.054914217834625,Israel
254,Azerbaijan,15.58631927318941,20.909454226951663,18.052740218853437,Israel
255,Russia,9.241962407465937,31.206354986665087,16.98257812173393,Israel
