From country,Voting Type,Points,To country,Year,Edition
Romania,Televoter,2,North Macedonia,2021,sf1
Romania,Televoter,1,Belgium,2021,sf1
Russia,Jury,12,Malta,2021,sf1
Russia,Jury,10,Israel,2021,sf1
Russia,Jury,8,Cyprus,2021,sf1
Russia,Jury,7,Sweden,2021,sf1
Russia,Jury,6,Belgium,2021,sf1
Russia,Jury,5,Ukraine,2021,sf1
Russia,Jury,4,Azerbaijan,2021,sf1
Russia,Jury,3,Croatia,2021,sf1
Russia,Jury,2,Lithuania,2021,sf1
Russia,Jury,1,Australia,2021,sf1
Russia,Televoter,12,Ukraine,2021,sf1
Russia,Televoter,10,Azerbaijan,2021,sf1
Russia,Televoter,8,Malta,2021,sf1
Russia,Televoter,7,Lithuania,2021,sf1
Russia,Televoter,6,Norway,2021,sf1
Russia,Televoter,5,Cyprus,2021,sf1
Russia,Televoter,4,Israel,2021,sf1
Russia,Televoter,3,Belgium,2021,sf1
Russia,Televoter,2,Sweden,2021,sf1
Russia,Televoter,1,Australia,2021,sf1
Slovenia,Jury,12,Cyprus,2021,sf1
Slovenia,Jury,10,Russia,2021,sf1
Slovenia,Jury,8,Azerbaijan,2021,sf1
Slovenia,Jury,7,Croatia,2021,sf1
Slovenia,Jury,6,Malta,2021,sf1
Slovenia,Jury,5,Belgium,2021,sf1
Slovenia,Jury,4,North Macedonia,2021,sf1
Slovenia,Jury,3,Norway,2021,sf1
Slovenia,Jury,2,Israel,2021,sf1
Slovenia,Jury,1,Ukraine,2021,sf1
Slovenia,Televoter,12,Croatia,2021,sf1
Slovenia,Televoter,10,Ukraine,2021,sf1
Slovenia,Televoter,8,North Macedonia,2021,sf1
Slovenia,Televoter,7,Russia,2021,sf1
Slovenia,Televoter,6,Norway,2021,sf1
Slovenia,Televoter,5,Malta,2021,sf1
Slovenia,Televoter,4,Belgium,2021,sf1
Slovenia,Televoter,3,Azerbaijan,2021,sf1
Slovenia,Televoter,2,Sweden,2021,sf1
Slovenia,Televoter,1,Cyprus,2021,sf1
Sweden,Jury,12,Malta,2021,sf1
Sweden,Jury,10,Israel,2021,sf1
Sweden,Jury,8,Norway,2021,sf1
Sweden,Jury,7,Lithuania,2021,sf1
Sweden,Jury,6,Russia,2021,sf1
Sweden,Jury,5,Ukraine,2021,sf1
Sweden,Jury,4,Cyprus,2021,sf1
Sweden,Jury,3,Azerbaijan,2021,sf1
Sweden,Jury,2,Belgium,2021,sf1
Sweden,Jury,1,Ireland,2021,sf1
Sweden,Televoter,12,Norway,2021,sf1
Sweden,Televoter,10,Lithuania,2021,sf1
Sweden,Televoter,8,Malta,2021,sf1
Sweden,Televoter,7,Ukraine,2021,sf1
Sweden,Televoter,6,Israel,2021,sf1
Sweden,Televoter,5,Belgium,2021,sf1
Sweden,Televoter,4,Cyprus,2021,sf1
Sweden,Televoter,3,Russia,2021,sf1
Sweden,Televoter,2,Croatia,2021,sf1
Sweden,Televoter,1,Azerbaijan,2021,sf1
Ukraine,Jury,12,Australia,2021,sf1
Ukraine,Jury,10,Belgium,2021,sf1
Ukraine,Jury,8,Croatia,2021,sf1
Ukraine,Jury,7,Romania,2021,sf1
Ukraine,Jury,6,Israel,2021,sf1
Ukraine,Jury,5,Malta,2021,sf1
Ukraine,Jury,4,Slovenia,2021,sf1
Ukraine,Jury,3,Sweden,2021,sf1
Ukraine,Jury,2,Cyprus,2021,sf1
Ukraine,Jury,1,Lithuania,2021,sf1
Ukraine,Televoter,12,Lithuania,2021,sf1
Ukraine,Televoter,10,Azerbaijan,2021,sf1
Ukraine,Televoter,8,Malta,2021,sf1
Ukraine,Televoter,7,Israel,2021,sf1
Ukraine,Televoter,6,Russia,2021,sf1
Ukraine,Televoter,5,Belgium,2021,sf1
Ukraine,Televoter,4,Cyprus,2021,sf1
Ukraine,Televoter,3,Sweden,2021,sf1
Ukraine,Televoter,2,Norway,2021,sf1
Ukraine,Televoter,1,Australia,2021,sf1
Albania, Jury,12, Switzerland,2021,sf2
Albania, Jury,10, Greece,2021,sf2
Albania, Jury,8, San Marino,2021,sf2
Albania, Jury,7, Austria,2021,sf2
Albania, Jury,6, Finland,2021,sf2
Albania, Jury,5, Serbia,2021,sf2
Albania, Jury,4, Iceland,2021,sf2
Albania, Jury,3, Moldova,2021,sf2
Albania, Jury,2, Bulgaria,2021,sf2
Albania, Jury,1, Portugal,2021,sf2
Albania, Televoter,12, Switzerland,2021,sf2
Albania, Televoter,10, Greece,2021,sf2
Albania, Televoter,8, Bulgaria,2021,sf2
Albania, Televoter,7, San Marino,2021,sf2
Albania, Televoter,6, Portugal,2021,sf2
Albania, Televoter,5, Finland,2021,sf2
Albania, Televoter,4, Serbia,2021,sf2
Albania, Televoter,3, Austria,2021,sf2
Albania, Televoter,2, Denmark,2021,sf2
Albania, Televoter,1, Iceland,2021,sf2
Austria, Jury,12, Switzerland,2021,sf2
Austria, Jury,10, Iceland,2021,sf2
Austria, Jury,8, Bulgaria,2021,sf2
Austria, Jury,7, Portugal,2021,sf2
Austria, Jury,6, Serbia,2021,sf2
Austria, Jury,5, Finland,2021,sf2
Austria, Jury,4, Denmark,2021,sf2
Austria, Jury,3, Albania,2021,sf2
Austria, Jury,2, Moldova,2021,sf2
Austria, Jury,1, San Marino,2021,sf2
Austria, Televoter,12, Serbia,2021,sf2
Austria, Televoter,10, Iceland,2021,sf2
Austria, Televoter,8, Switzerland,2021,sf2
Austria, Televoter,7, Portugal,2021,sf2
Austria, Televoter,6, Moldova,2021,sf2
Austria, Televoter,5, Finland,2021,sf2
Austria, Televoter,4, Bulgaria,2021,sf2
Austria, Televoter,3, Denmark,2021,sf2
Austria, Televoter,2, Albania,2021,sf2
Austria, Televoter,1, Poland,2021,sf2
Bulgaria, Jury,12, Moldova,2021,sf2
Bulgaria, Jury,10, Greece,2021,sf2
Bulgaria, Jury,8, Portugal,2021,sf2
Bulgaria, Jury,7, Estonia,2021,sf2
Bulgaria, Jury,6, Austria,2021,sf2
Bulgaria, Jury,5, Czechia,2021,sf2
Bulgaria, Jury,4, Albania,2021,sf2
Bulgaria, Jury,3, Poland,2021,sf2
Bulgaria, Jury,2, San Marino,2021,sf2
Bulgaria, Jury,1, Georgia,2021,sf2
Bulgaria, Televoter,12, Finland,2021,sf2
Bulgaria, Televoter,10, Serbia,2021,sf2
Bulgaria, Televoter,8, Greece,2021,sf2
Bulgaria, Televoter,7, Switzerland,2021,sf2
Bulgaria, Televoter,6, Iceland,2021,sf2
Bulgaria, Televoter,5, Portugal,2021,sf2
Bulgaria, Televoter,4, Albania,2021,sf2
Bulgaria, Televoter,3, Denmark,2021,sf2
Bulgaria, Televoter,2, Georgia,2021,sf2
Bulgaria, Televoter,1, Estonia,2021,sf2
Czechia, Jury,12, Portugal,2021,sf2
Czechia, Jury,10, Iceland,2021,sf2
Czechia, Jury,8, Switzerland,2021,sf2
Czechia, Jury,7, Bulgaria,2021,sf2
Czechia, Jury,6, Finland,2021,sf2
Czechia, Jury,5, Greece,2021,sf2
Czechia, Jury,4, Serbia,2021,sf2
Czechia, Jury,3, Denmark,2021,sf2
Czechia, Jury,2, San Marino,2021,sf2
Czechia, Jury,1, Albania,2021,sf2
Czechia, Televoter,12, Moldova,2021,sf2
Czechia, Televoter,10, Iceland,2021,sf2
Czechia, Televoter,8, Finland,2021,sf2
Czechia, Televoter,7, Switzerland,2021,sf2
Czechia, Televoter,6, Bulgaria,2021,sf2
Czechia, Televoter,5, Serbia,2021,sf2
Czechia, Televoter,4, Portugal,2021,sf2
Czechia, Televoter,3, Denmark,2021,sf2
Czechia, Televoter,2, Greece,2021,sf2
Czechia, Televoter,1, Estonia,2021,sf2
Denmark, Jury,12, Switzerland,2021,sf2
